id,name,email,password,admin,department_id,email_notification
1,管理者,admin@company.com,admin123,TRUE,1,FALSE
2,田中太郎,tanaka@company.com,password123,FALSE,2,TRUE
3,佐藤花子,sato@company.com,password123,FALSE,3,TRUE
4,鈴木次郎,suzuki@company.com,password123,FALSE,4,FALSE
5,高橋美咲,takahashi@company.com,password123,FALSE,5,TRUE
6,渡辺健太,watanabe@company.com,password123,FALSE,6,FALSE
7,山田優子,yamada@company.com,password123,FALSE,7,TRUE
8,中村大介,nakamura@company.com,password123,FALSE,2,FALSE
9,小林恵美,kobayashi@company.com,password123,FALSE,3,TRUE
10,加藤正樹,kato@company.com,password123,FALSE,4,FALSE
